iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
598	261	288	261	340	261	288	340
599	260	287	260	340	260	287	340
600	261	288	261	340	261	288	340
601	260	287	260	340	260	287	340
602	261	288	261	340	261	288	340
603	261	288	261	340	261	288	340
604	261	288	261	340	261	288	340
605	261	288	261	340	261	288	340
606	261	288	261	340	261	288	340
607	261	288	261	340	261	288	340
608	260	287	260	340	260	287	340
609	261	288	261	340	261	288	340
610	261	288	261	340	261	288	340
611	261	288	261	340	261	288	340
612	260	287	260	340	260	287	340
613	261	288	261	340	261	288	340
614	262	289	262	340	262	289	340
615	262	289	262	340	262	289	340
616	263	289	263	340	263	289	340
617	263	289	263	340	263	289	340
618	263	289	263	340	263	289	340
619	263	289	263	340	263	289	340
620	263	289	263	340	263	289	340
621	263	289	263	340	263	289	340
622	262	288	262	340	262	288	340
623	263	290	263	340	263	290	340
624	263	290	263	340	263	290	340
625	263	289	263	340	263	289	340
626	262	288	262	340	262	288	340
627	263	289	263	340	263	289	340
628	262	288	262	340	262	288	340
629	262	288	262	340	262	288	340
630	264	290	264	340	264	290	340
631	264	290	264	340	264	290	340
632	264	290	264	340	264	290	340
633	264	290	264	340	264	290	340
634	264	290	264	340	264	290	340
635	264	290	264	340	264	290	340
636	264	290	264	340	264	290	340
637	264	290	264	340	264	290	340
638	264	290	264	340	264	290	340
639	264	290	264	340	264	290	340
640	264	290	264	340	264	290	340
641	264	291	264	340	264	291	340
642	264	291	264	340	264	291	340
643	264	291	264	340	264	291	340
644	264	291	264	340	264	291	340
645	264	291	264	340	264	291	340
646	264	291	264	340	264	291	340
647	264	291	264	340	264	291	340
648	264	291	264	340	264	291	340
649	264	291	264	340	264	291	340
650	264	291	264	340	264	291	340
651	264	291	264	340	264	291	340
652	264	291	264	340	264	291	340
653	264	291	264	340	264	291	340
654	264	291	264	340	264	291	340
655	264	291	264	340	264	291	340
656	264	291	264	340	264	291	340
657	264	291	264	340	264	291	340
658	264	291	264	340	264	291	340
659	264	291	264	340	264	291	340
660	264	290	264	340	264	290	340
661	264	290	264	340	264	290	340
662	264	290	264	340	264	290	340
663	264	291	264	340	264	291	340
664	264	291	264	340	264	291	340
665	264	291	264	340	264	291	340
666	264	291	264	340	264	291	340
667	264	291	264	340	264	291	340
668	264	291	264	340	264	291	340
669	264	291	264	340	264	291	340
670	266	293	266	340	266	293	340
671	266	293	266	340	266	293	340
672	266	293	266	340	266	293	340
673	266	293	266	340	266	293	340
674	266	293	266	340	266	293	340
675	266	293	266	340	266	293	340
676	266	293	266	340	266	293	340
677	266	293	266	340	266	293	340
678	266	293	266	340	266	293	340
679	266	293	266	340	266	293	340
680	266	293	266	340	266	293	340
681	266	293	266	340	266	293	340
682	266	293	266	340	266	293	340
683	266	293	266	340	266	293	340
684	266	293	266	340	266	293	340
685	266	293	266	340	266	293	340
686	266	293	266	340	266	293	340
687	266	293	266	340	266	293	340
688	266	293	266	340	266	293	340
689	267	294	267	340	267	294	340
690	267	294	267	340	267	294	340
691	267	294	267	340	267	294	340
692	266	293	266	340	266	293	340
693	267	294	267	340	267	294	340
694	267	294	267	340	267	294	340
695	267	294	267	340	267	294	340
696	266	293	266	340	266	293	340
697	266	293	266	340	266	293	340
698	266	293	266	340	266	293	340
699	266	293	266	340	266	293	340
700	266	293	266	340	266	293	340
701	266	293	266	340	266	293	340
702	266	293	266	340	266	293	340
703	267	294	267	340	267	294	340
704	267	294	267	340	267	294	340
705	267	294	267	340	267	294	340
706	267	294	267	340	267	294	340
707	267	294	267	340	267	294	340
708	267	294	267	340	267	294	340
709	267	294	267	340	267	294	340
710	267	294	267	340	267	294	340
711	267	294	267	340	267	294	340
712	267	294	267	340	267	294	340
713	267	294	267	340	267	294	340
714	267	294	267	340	267	294	340
715	267	294	267	340	267	294	340
716	267	294	267	340	267	294	340
717	267	294	267	340	267	294	340
718	267	294	267	340	267	294	340
719	267	294	267	340	267	294	340
720	268	295	268	340	268	295	340
721	268	295	268	340	268	295	340
722	268	295	268	340	268	295	340
723	268	295	268	340	268	295	340
724	268	295	268	340	268	295	340
725	268	295	268	340	268	295	340
726	269	296	269	340	269	296	340
727	269	296	269	340	269	296	340
728	269	296	269	340	269	296	340
729	268	295	268	340	268	295	340
730	268	295	268	340	268	295	340
731	268	295	268	340	268	295	340
732	268	295	268	340	268	295	340
733	268	295	268	340	268	295	340
734	268	295	268	340	268	295	340
735	268	295	268	340	268	295	340
736	268	295	268	340	268	295	340
737	268	295	268	340	268	295	340
738	268	295	268	340	268	295	340
739	268	295	268	340	268	295	340
740	268	295	268	340	268	295	340
741	269	296	269	340	269	296	340
742	269	296	269	340	269	296	340
743	269	296	269	340	269	296	340
744	269	296	269	340	269	296	340
745	269	296	269	340	269	296	340
746	270	297	270	340	270	297	340
747	269	296	269	340	269	296	340
748	269	296	269	340	269	296	340
749	269	296	269	340	269	296	340
750	269	296	269	340	269	296	340
751	269	296	269	340	269	296	340
752	269	296	269	340	269	296	340
753	269	296	269	340	269	296	340
754	269	296	269	340	269	296	340
755	270	297	270	340	270	297	340
756	270	297	270	340	270	297	340
757	270	297	270	340	270	297	340
758	269	296	269	340	269	296	340
759	269	296	269	340	269	296	340
760	269	296	269	340	269	296	340
761	269	296	269	340	269	296	340
762	270	297	270	340	270	297	340
763	268	295	268	340	268	295	340
764	268	295	268	340	268	295	340
765	269	296	269	340	269	296	340
766	269	296	269	340	269	296	340
767	269	296	269	340	269	296	340
768	269	296	269	340	269	296	340
769	268	295	268	340	268	295	340
770	269	296	269	340	269	296	340
771	269	296	269	340	269	296	340
772	269	297	269	340	269	297	340
773	269	296	269	340	269	296	340
774	269	296	269	340	269	296	340
775	268	295	268	340	268	295	340
776	268	295	268	340	268	295	340
777	268	295	268	340	268	295	340
778	268	295	268	340	268	295	340
779	268	295	268	340	268	295	340
780	268	295	268	340	268	295	340
781	269	296	269	340	269	296	340
782	269	296	269	340	269	296	340
783	268	295	268	340	268	295	340
784	268	295	268	340	268	295	340
785	268	295	268	340	268	295	340
786	268	295	268	340	268	295	340
787	268	295	268	340	268	295	340
788	268	295	268	340	268	295	340
789	269	296	269	340	269	296	340
790	270	297	270	340	270	297	340
791	270	297	270	340	270	297	340
792	270	297	270	340	270	297	340
793	270	297	270	340	270	297	340
794	270	297	270	340	270	297	340
795	270	297	270	340	270	297	340
796	269	296	269	340	269	296	340
797	269	296	269	340	269	296	340
798	269	297	269	340	269	297	340
799	270	298	270	340	270	298	340
800	270	298	270	340	270	298	340
